,time,b,imp radius,mass prim,x prim,y prim,z prim,vx prim,vy prim,vz prim,mass sec,x sec,y sec,z sec,vx sec,vy sec,vz sec,mass imp,x imp,y imp,z imp,vx imp,vy imp,vz imp,mass sun,x sun,y sun,z sun,vx sun,vy sun,vz sun
0,920928161.2518599,0.4,1000.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.1887902047863906e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
1,920928161.2518599,0.4,1050.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.849048260815846e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
2,920928161.2518599,0.4,1100.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,5.575279762570686e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
3,920928161.2518599,0.4,1150.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,6.370626302704502e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
4,920928161.2518599,1.8,1000.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.1887902047863906e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
5,920928161.2518599,1.8,1050.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,4.849048260815846e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
6,920928161.2518599,1.8,1100.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,5.575279762570686e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
7,920928161.2518599,1.8,1150.0,9.2027720799157e+18,0.0,0.0,0.0,0.0,0.0,0.0,2.1446605848506322e+18,0.0,0.0,0.0,0.0,0.0,0.0,6.370626302704502e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.9891e+30,0.0,0.0,0.0,0.0,0.0,0.0
8,920928161.2518599,3.1999999999999997,1000.0,9.2027720799157e+18,-1256335057567.5073,3868521407545.682,0.0,-2642.956520637184,3632.369414948512,0.0,2.1446605848506322e+18,-1257315999717.9492,3868573579635.163,0.0,-2634.229805359934,3634.345861167316,0.0,4.1887902047863906e+21,-1254258490142.9817,3869229201486.6304,0.0,-2638.377328040642,3633.2004913007936,0.0,1.9891e+30,-6582399997347.404,562.9733011697266,0.0,5.5700613159902355e-06,1.8094624413041257e-06,0.0
9,920928161.2518599,3.1999999999999997,1050.0,9.2027720799157e+18,-1256535935233.2563,3868456071314.8604,0.0,-2640.5991163291687,3632.9589695726922,0.0,2.1446605848506322e+18,-1254977234744.5012,3869280690385.2153,0.0,-2612.285208493394,3634.86799430015,0.0,4.849048260815846e+21,-1254258919817.1396,3869228825927.6284,0.0,-2638.392095154109,3633.19895205405,0.0,1.9891e+30,-6582399996930.42,651.4720502419971,0.0,6.445668545769555e-06,2.0939077016917293e-06,0.0
10,920928161.2518599,3.1999999999999997,1100.0,9.2027720799157e+18,-1256617742318.393,3868429387573.7944,0.0,-2638.115946772136,3633.6411493927703,0.0,2.1446605848506322e+18,-1256535428013.5732,3868745174207.267,0.0,-2646.0033339394013,3633.4363351226234,0.0,5.575279762570686e+21,-1254257915627.0098,3869228946175.6143,0.0,-2638.3818619295016,3633.198395960645,0.0,1.9891e+30,-6582399996471.77,748.8136560874688,0.0,7.40876706124132e-06,2.4067749311884375e-06,0.0
11,920928161.2518599,3.1999999999999997,1150.0,9.2027720799157e+18,-1256554037287.5178,3868462643494.3394,0.0,-2635.04056865594,3634.6623498829877,0.0,2.1446605848506322e+18,-1256914302766.2026,3868850077127.2803,0.0,-2639.139991095445,3634.6580716682215,0.0,6.370626302704502e+21,-1254257746937.3706,3869228723394.8223,0.0,-2638.388587682692,3633.1965972552207,0.0,1.9891e+30,-6582399995969.47,855.4192071515275,0.0,8.463523114077475e-06,2.749417556928577e-06,0.0
